                  time	           getProblems	           updateState	               balance	           solveBuffer	             unbalance	               rank ID
                 1e-07	               2.4e-05	               1.7e-05	                 6e-06	              0.001261	                 9e-06	                     0
           2.99998e-07	                 2e-06	                 1e-06	                     0	              0.001163	                 1e-06	                     0
           6.99986e-07	                 2e-06	                 1e-06	                     0	              0.001119	                 1e-06	                     0
           1.49993e-06	                 1e-06	                 1e-06	                     0	              0.001107	                 1e-06	                     0
           3.09969e-06	                 1e-06	                 1e-06	                     0	              0.001132	                 1e-06	                     0
            6.2987e-06	                 2e-06	                     0	                     0	               0.00112	                     0	                     0
           1.26967e-05	                 1e-06	                 1e-06	                     0	              0.001144	                     0	                     0
           2.54846e-05	                 2e-06	                     0	                 1e-06	              0.001158	                     0	                     0
           5.10602e-05	                 2e-06	                     0	                 1e-06	              0.001133	                 1e-06	                     0
           9.00757e-05	                 2e-06	                     0	                 1e-06	              0.001113	                 1e-06	                     0
           0.000154426	                 1e-06	                 1e-06	                     0	              0.001122	                     0	                     0
           0.000253876	                 2e-06	                 1e-06	                     0	                0.0011	                     0	                     0
           0.000353326	                 1e-06	                 1e-06	                     0	              0.001141	                     0	                     0
           0.000452777	                 2e-06	                 1e-06	                     0	              0.001123	                 1e-06	                     0
           0.000552227	                 1e-06	                 1e-06	                     0	              0.001107	                     0	                     0
           0.000651677	                 2e-06	                 1e-06	                     0	              0.001114	                 1e-06	                     0
           0.000751127	                 1e-06	                 1e-06	                     0	              0.001124	                     0	                     0
           0.000850578	                 1e-06	                 1e-06	                     0	              0.001105	                     0	                     0
           0.000950028	                 2e-06	                     0	                     0	              0.001126	                 1e-06	                     0
            0.00104948	                 2e-06	                 1e-06	                     0	              0.001099	                 1e-06	                     0
            0.00114893	                 1e-06	                 1e-06	                     0	              0.001097	                 1e-06	                     0
            0.00124838	                 2e-06	                     0	                 1e-06	              0.001084	                     0	                     0
            0.00134783	                 2e-06	                     0	                     0	              0.001071	                 1e-06	                     0
            0.00144728	                 2e-06	                     0	                     0	              0.001072	                 1e-06	                     0
            0.00154673	                 1e-06	                 1e-06	                     0	              0.001081	                     0	                     0
            0.00164618	                 2e-06	                     0	                     0	              0.001074	                     0	                     0
            0.00174563	                 2e-06	                     0	                     0	              0.001081	                     0	                     0
            0.00184508	                 2e-06	                 1e-06	                     0	              0.001081	                 1e-06	                     0
            0.00194453	                 1e-06	                 1e-06	                     0	              0.001072	                     0	                     0
            0.00204398	                 1e-06	                 1e-06	                     0	              0.001091	                 1e-06	                     0
            0.00214343	                 1e-06	                 1e-06	                     0	              0.001084	                     0	                     0
            0.00224288	                 2e-06	                     0	                     0	              0.001087	                     0	                     0
            0.00234233	                 2e-06	                     0	                     0	              0.001073	                     0	                     0
            0.00244178	                 1e-06	                 1e-06	                     0	              0.001092	                     0	                     0
            0.00254123	                 2e-06	                 1e-06	                     0	              0.001072	                     0	                     0
            0.00264068	                 1e-06	                 1e-06	                     0	              0.001073	                 1e-06	                     0
            0.00274013	                 2e-06	                     0	                 1e-06	              0.001081	                 1e-06	                     0
            0.00283958	                 1e-06	                     0	                     0	              0.001072	                 1e-06	                     0
            0.00293903	                 1e-06	                 1e-06	                     0	              0.001072	                     0	                     0
            0.00303848	                 1e-06	                 1e-06	                     0	              0.001082	                     0	                     0
            0.00313793	                 1e-06	                 1e-06	                     0	              0.001072	                 1e-06	                     0
            0.00323738	                 2e-06	                     0	                     0	              0.001074	                     0	                     0
            0.00333683	                 1e-06	                 1e-06	                     0	              0.001088	                     0	                     0
            0.00343628	                 2e-06	                     0	                 1e-06	              0.001085	                 1e-06	                     0
            0.00353573	                 1e-06	                 1e-06	                     0	              0.001089	                     0	                     0
            0.00363518	                 2e-06	                     0	                     0	              0.001084	                     0	                     0
            0.00373463	                 2e-06	                     0	                     0	              0.001221	                     0	                     0
            0.00383408	                 2e-06	                 1e-06	                     0	              0.001089	                     0	                     0
            0.00393354	                 1e-06	                 1e-06	                     0	              0.001095	                     0	                     0
            0.00403299	                 2e-06	                     0	                 1e-06	              0.001073	                 1e-06	                     0
            0.00413244	                 2e-06	                 1e-06	                     0	              0.001073	                     0	                     0
            0.00423189	                 2e-06	                     0	                 1e-06	              0.001082	                     0	                     0
            0.00433134	                 1e-06	                 1e-06	                     0	              0.001074	                     0	                     0
            0.00443079	                 1e-06	                 1e-06	                     0	              0.001074	                     0	                     0
            0.00453024	                 2e-06	                     0	                     0	              0.001086	                     0	                     0
            0.00462969	                 2e-06	                 1e-06	                     0	              0.001074	                 1e-06	                     0
            0.00472914	                 1e-06	                 1e-06	                     0	              0.001084	                     0	                     0
            0.00482859	                 1e-06	                 1e-06	                     0	              0.001084	                     0	                     0
            0.00492804	                 2e-06	                 1e-06	                     0	              0.001146	                     0	                     0
            0.00502749	                 1e-06	                 1e-06	                     0	              0.001076	                     0	                     0
            0.00512694	                 1e-06	                 1e-06	                     0	              0.001089	                 1e-06	                     0
            0.00522639	                 2e-06	                     0	                     0	              0.001075	                     0	                     0
            0.00532584	                 1e-06	                 1e-06	                     0	              0.001072	                     0	                     0
            0.00542529	                 2e-06	                     0	                     0	              0.001083	                 1e-06	                     0
            0.00552474	                 2e-06	                     0	                     0	              0.001075	                     0	                     0
            0.00562419	                 2e-06	                 1e-06	                     0	              0.001075	                 1e-06	                     0
            0.00572364	                 2e-06	                     0	                     0	              0.001086	                 1e-06	                     0
            0.00582309	                 2e-06	                     0	                 1e-06	              0.001072	                     0	                     0
            0.00592254	                 1e-06	                 1e-06	                     0	              0.001086	                 1e-06	                     0
            0.00602199	                 1e-06	                 1e-06	                     0	              0.001099	                 1e-06	                     0
            0.00612144	                 1e-06	                 1e-06	                     0	              0.001075	                     0	                     0
            0.00622089	                 2e-06	                     0	                 1e-06	              0.001074	                 1e-06	                     0
            0.00632034	                 1e-06	                 1e-06	                     0	              0.001088	                 1e-06	                     0
            0.00641979	                 1e-06	                 1e-06	                     0	              0.001083	                     0	                     0
            0.00651924	                 1e-06	                 1e-06	                     0	              0.001342	                 1e-06	                     0
            0.00661869	                 2e-06	                     0	                     0	              0.001097	                 1e-06	                     0
            0.00671814	                 2e-06	                 1e-06	                     0	              0.001076	                     0	                     0
            0.00681759	                 1e-06	                 1e-06	                     0	              0.001074	                     0	                     0
            0.00691704	                 2e-06	                     0	                 1e-06	              0.001086	                     0	                     0
            0.00701649	                 2e-06	                     0	                 1e-06	              0.001074	                 1e-06	                     0
            0.00711594	                 2e-06	                     0	                     0	              0.001073	                     0	                     0
            0.00721539	                 2e-06	                 1e-06	                     0	              0.001107	                 1e-06	                     0
            0.00731484	                 2e-06	                 1e-06	                     0	              0.001075	                     0	                     0
            0.00741429	                 2e-06	                 1e-06	                     0	              0.001073	                 1e-06	                     0
            0.00751374	                 1e-06	                 1e-06	                     0	              0.001088	                 1e-06	                     0
            0.00761319	                 2e-06	                 1e-06	                     0	              0.001073	                     0	                     0
            0.00771264	                 2e-06	                 1e-06	                     0	              0.001071	                 1e-06	                     0
            0.00781209	                 1e-06	                 1e-06	                     0	              0.001083	                     0	                     0
            0.00791154	                 1e-06	                 1e-06	                     0	              0.001127	                 1e-06	                     0
              0.008011	                 2e-06	                 1e-06	                     0	              0.001082	                     0	                     0
            0.00811045	                 2e-06	                 1e-06	                     0	              0.001094	                     0	                     0
             0.0082099	                 1e-06	                 1e-06	                     0	              0.001073	                     0	                     0
            0.00830935	                 1e-06	                 1e-06	                     0	              0.001075	                 1e-06	                     0
             0.0084088	                 1e-06	                 1e-06	                     0	              0.001099	                 1e-06	                     0
            0.00850825	                 2e-06	                     0	                     0	              0.001095	                 1e-06	                     0
             0.0086077	                 2e-06	                     0	                     0	              0.001074	                     0	                     0
            0.00870715	                 2e-06	                     0	                 1e-06	              0.001081	                     0	                     0
             0.0088066	                 2e-06	                     0	                     0	              0.001071	                 1e-06	                     0
            0.00890605	                 1e-06	                 1e-06	                     0	              0.001083	                 1e-06	                     0
             0.0090055	                 1e-06	                 1e-06	                     0	              0.001085	                     0	                     0
            0.00910495	                 1e-06	                 1e-06	                     0	              0.001073	                 1e-06	                     0
             0.0092044	                 1e-06	                 1e-06	                     0	              0.001074	                 1e-06	                     0
            0.00930385	                 1e-06	                 1e-06	                     0	               0.00108	                     0	                     0
             0.0094033	                 2e-06	                     0	                 1e-06	              0.001072	                 1e-06	                     0
            0.00950275	                 2e-06	                     0	                 1e-06	              0.001073	                     0	                     0
             0.0096022	                 1e-06	                 1e-06	                     0	              0.001081	                 1e-06	                     0
            0.00970165	                 1e-06	                 1e-06	                     0	              0.001088	                     0	                     0
             0.0098011	                 1e-06	                 1e-06	                     0	              0.001073	                     0	                     0
            0.00990055	                 2e-06	                     0	                     0	              0.001079	                     0	                     0
                  0.01	                 1e-06	                 1e-06	                     0	              0.001071	                     0	                     0
                0.0101	                 1e-06	                     0	                     0	              0.001081	                 1e-06	                     0
                0.0102	                 1e-06	                 1e-06	                     0	              0.001074	                     0	                     0
                0.0103	                 2e-06	                 1e-06	                 1e-06	              0.001097	                 1e-06	                     0
                0.0104	                 1e-06	                     0	                     0	              0.001077	                     0	                     0
                0.0105	                 1e-06	                 1e-06	                     0	              0.001073	                     0	                     0
                0.0106	                 1e-06	                 1e-06	                     0	              0.001084	                 1e-06	                     0
                0.0107	                 1e-06	                 1e-06	                     0	              0.001086	                     0	                     0
                0.0108	                 2e-06	                     0	                 1e-06	              0.001147	                     0	                     0
                0.0109	                 1e-06	                 1e-06	                     0	              0.001088	                 1e-06	                     0
                 0.011	                 1e-06	                 1e-06	                     0	              0.001086	                 1e-06	                     0
                0.0111	                 1e-06	                 1e-06	                     0	              0.001074	                     0	                     0
                0.0112	                 1e-06	                 1e-06	                     0	              0.001082	                     0	                     0
                0.0113	                 2e-06	                 1e-06	                     0	              0.001083	                     0	                     0
                0.0114	                 1e-06	                 1e-06	                     0	              0.001071	                 1e-06	                     0
                0.0115	                 1e-06	                 1e-06	                     0	              0.001095	                     0	                     0
                0.0116	                 1e-06	                 1e-06	                     0	              0.001073	                     0	                     0
                0.0117	                 2e-06	                     0	                     0	              0.001072	                     0	                     0
                0.0118	                 1e-06	                 1e-06	                     0	              0.001088	                 1e-06	                     0
                0.0119	                 1e-06	                 1e-06	                     0	              0.001074	                     0	                     0
                 0.012	                 2e-06	                     0	                 1e-06	              0.001085	                 1e-06	                     0
                0.0121	                 2e-06	                     0	                     0	              0.001087	                 1e-06	                     0
                0.0122	                 1e-06	                 1e-06	                     0	              0.001073	                 1e-06	                     0
                0.0123	                 1e-06	                 1e-06	                     0	              0.002105	                 1e-06	                     0
                0.0124	                 2e-06	                 1e-06	                     0	              0.001086	                     0	                     0
                0.0125	                 1e-06	                 1e-06	                     0	              0.001072	                 1e-06	                     0
                0.0126	                 1e-06	                 1e-06	                     0	              0.001089	                     0	                     0
                0.0127	                 1e-06	                 1e-06	                     0	              0.001092	                     0	                     0
                0.0128	                 1e-06	                 1e-06	                     0	              0.001074	                     0	                     0
                0.0129	                 2e-06	                     0	                     0	              0.001084	                     0	                     0
                 0.013	                 1e-06	                 1e-06	                     0	              0.001072	                 1e-06	                     0
                0.0131	                 1e-06	                 1e-06	                     0	              0.001078	                     0	                     0
                0.0132	                 1e-06	                 1e-06	                     0	              0.001083	                     0	                     0
                0.0133	                 2e-06	                 1e-06	                     0	              0.001074	                     0	                     0
                0.0134	                 2e-06	                     0	                     0	              0.001072	                 1e-06	                     0
                0.0135	                 2e-06	                 1e-06	                     0	              0.001097	                     0	                     0
                0.0136	                 2e-06	                     0	                 1e-06	              0.001073	                     0	                     0
                0.0137	                 1e-06	                 1e-06	                     0	              0.001085	                     0	                     0
                0.0138	                 1e-06	                 1e-06	                     0	              0.001082	                     0	                     0
                0.0139	                 1e-06	                 1e-06	                     0	              0.001082	                     0	                     0
                 0.014	                 1e-06	                     0	                 1e-06	              0.001072	                 1e-06	                     0
                0.0141	                 2e-06	                 1e-06	                     0	              0.001097	                     0	                     0
                0.0142	                 2e-06	                 1e-06	                     0	              0.001073	                     0	                     0
                0.0143	                 1e-06	                 1e-06	                     0	              0.001073	                     0	                     0
                0.0144	                 2e-06	                     0	                 1e-06	              0.001094	                 1e-06	                     0
                0.0145	                 1e-06	                 1e-06	                     0	              0.001073	                     0	                     0
                0.0146	                 2e-06	                 1e-06	                     0	              0.001074	                 1e-06	                     0
                0.0147	                 1e-06	                 1e-06	                     0	              0.001084	                 1e-06	                     0
                0.0148	                 1e-06	                 1e-06	                     0	              0.001072	                 1e-06	                     0
                0.0149	                 1e-06	                 1e-06	                     0	              0.001071	                     0	                     0
                 0.015	                 2e-06	                     0	                 1e-06	              0.001084	                 1e-06	                     0
                0.0151	                 2e-06	                     0	                 1e-06	              0.001072	                     0	                     0
                0.0152	                 1e-06	                 1e-06	                     0	              0.001075	                     0	                     0
                0.0153	                 1e-06	                 1e-06	                     0	              0.001083	                 1e-06	                     0
                0.0154	                 2e-06	                     0	                     0	              0.001072	                 1e-06	                     0
                0.0155	                 2e-06	                     0	                     0	              0.001072	                     0	                     0
                0.0156	                 2e-06	                     0	                 1e-06	              0.001078	                     0	                     0
                0.0157	                 1e-06	                 1e-06	                     0	              0.001078	                     0	                     0
                0.0158	                 1e-06	                 1e-06	                     0	              0.001082	                     0	                     0
                0.0159	                 2e-06	                 1e-06	                     0	              0.001071	                 1e-06	                     0
                 0.016	                 1e-06	                     0	                     0	              0.001074	                     0	                     0
                0.0161	                 2e-06	                 1e-06	                     0	              0.001072	                     0	                     0
                0.0162	                 2e-06	                     0	                     0	              0.001075	                     0	                     0
                0.0163	                 1e-06	                     0	                     0	              0.001072	                     0	                     0
                0.0164	                 2e-06	                     0	                     0	               0.00107	                 1e-06	                     0
                0.0165	                 1e-06	                 1e-06	                     0	              0.001071	                     0	                     0
                0.0166	                 1e-06	                 1e-06	                     0	              0.001072	                 1e-06	                     0
                0.0167	                 2e-06	                     0	                     0	              0.001072	                     0	                     0
                0.0168	                 1e-06	                 1e-06	                     0	              0.001071	                 1e-06	                     0
                0.0169	                 2e-06	                 1e-06	                     0	              0.001094	                 1e-06	                     0
                 0.017	                 2e-06	                     0	                 1e-06	              0.001073	                     0	                     0
                0.0171	                 1e-06	                 1e-06	                     0	              0.001072	                     0	                     0
                0.0172	                 1e-06	                 1e-06	                     0	              0.001073	                     0	                     0
                0.0173	                 1e-06	                 1e-06	                     0	              0.001079	                     0	                     0
                0.0174	                 1e-06	                 1e-06	                     0	              0.001074	                 1e-06	                     0
                0.0175	                 1e-06	                 1e-06	                     0	              0.001073	                 1e-06	                     0
                0.0176	                 1e-06	                 1e-06	                     0	              0.001072	                     0	                     0
                0.0177	                 1e-06	                 1e-06	                     0	               0.00107	                 1e-06	                     0
                0.0178	                 2e-06	                 1e-06	                     0	              0.001072	                     0	                     0
                0.0179	                 1e-06	                 1e-06	                     0	              0.001072	                     0	                     0
                 0.018	                 1e-06	                 1e-06	                     0	              0.001073	                 1e-06	                     0
                0.0181	                 1e-06	                 1e-06	                     0	              0.001082	                 1e-06	                     0
                0.0182	                 2e-06	                     0	                 1e-06	              0.001082	                 1e-06	                     0
                0.0183	                 1e-06	                 1e-06	                     0	              0.001072	                     0	                     0
                0.0184	                 2e-06	                 1e-06	                     0	              0.001078	                 1e-06	                     0
                0.0185	                 1e-06	                 1e-06	                     0	              0.001071	                 1e-06	                     0
                0.0186	                 2e-06	                     0	                 1e-06	              0.001072	                     0	                     0
                0.0187	                 2e-06	                     0	                     0	              0.001112	                 1e-06	                     0
                0.0188	                 1e-06	                 1e-06	                     0	              0.001071	                     0	                     0
                0.0189	                 1e-06	                 1e-06	                     0	              0.001071	                     0	                     0
                 0.019	                 1e-06	                     0	                     0	              0.001093	                 1e-06	                     0
                0.0191	                 1e-06	                 1e-06	                     0	              0.001072	                 1e-06	                     0
                0.0192	                 1e-06	                 1e-06	                     0	              0.001069	                 1e-06	                     0
                0.0193	                 1e-06	                 1e-06	                     0	              0.001078	                     0	                     0
                0.0194	                 1e-06	                 1e-06	                     0	              0.001075	                     0	                     0
                0.0195	                 2e-06	                     0	                     0	              0.001073	                 1e-06	                     0
                0.0196	                 1e-06	                 1e-06	                     0	              0.001085	                 1e-06	                     0
                0.0197	                 2e-06	                     0	                     0	               0.00107	                 1e-06	                     0
                0.0198	                 2e-06	                 1e-06	                     0	               0.00107	                     0	                     0
                0.0199	                 1e-06	                 1e-06	                     0	              0.001078	                     0	                     0
                  0.02	                 2e-06	                     0	                     0	               0.00107	                     0	                     0
                0.0201	                 2e-06	                 1e-06	                     0	              0.001094	                 1e-06	                     0
                0.0202	                 1e-06	                 1e-06	                     0	              0.001073	                 1e-06	                     0
                0.0203	                 1e-06	                 1e-06	                     0	              0.001086	                 1e-06	                     0
                0.0204	                 1e-06	                 1e-06	                     0	              0.001152	                     0	                     0
                0.0205	                 2e-06	                     0	                 1e-06	              0.001086	                     0	                     0
                0.0206	                 1e-06	                 1e-06	                     0	               0.00108	                 1e-06	                     0
                0.0207	                 2e-06	                     0	                     0	              0.001083	                 1e-06	                     0
                0.0208	                 2e-06	                     0	                 1e-06	              0.001069	                 1e-06	                     0
                0.0209	                 2e-06	                 1e-06	                     0	               0.00108	                 1e-06	                     0
                 0.021	                 1e-06	                 1e-06	                     0	              0.001083	                     0	                     0
                0.0211	                 1e-06	                 1e-06	                     0	              0.001071	                 1e-06	                     0
                0.0212	                 2e-06	                     0	                     0	              0.001093	                     0	                     0
                0.0213	                 2e-06	                 1e-06	                     0	              0.001086	                 1e-06	                     0
                0.0214	                 2e-06	                 1e-06	                     0	              0.001071	                 1e-06	                     0
                0.0215	                 1e-06	                 1e-06	                     0	              0.001084	                 1e-06	                     0
                0.0216	                 1e-06	                 1e-06	                     0	              0.001071	                     0	                     0
                0.0217	                 1e-06	                 1e-06	                     0	               0.00107	                 1e-06	                     0
                0.0218	                 2e-06	                 1e-06	                     0	              0.001079	                 1e-06	                     0
                0.0219	                 1e-06	                 1e-06	                     0	              0.001071	                 1e-06	                     0
                 0.022	                 1e-06	                 1e-06	                     0	               0.00107	                     0	                     0
                0.0221	                 2e-06	                     0	                     0	              0.001081	                     0	                     0
                0.0222	                 2e-06	                     0	                 1e-06	              0.001089	                     0	                     0
                0.0223	                 2e-06	                     0	                     0	              0.001084	                     0	                     0
                0.0224	                 2e-06	                     0	                     0	              0.001081	                     0	                     0
                0.0225	                 1e-06	                 1e-06	                     0	              0.001071	                     0	                     0
                0.0226	                 1e-06	                 1e-06	                     0	              0.001074	                     0	                     0
                0.0227	                 2e-06	                 1e-06	                     0	               0.00109	                     0	                     0
                0.0228	                 1e-06	                 1e-06	                     0	               0.00107	                 1e-06	                     0
                0.0229	                 2e-06	                     0	                     0	              0.001071	                     0	                     0
                 0.023	                 1e-06	                 1e-06	                     0	              0.001099	                     0	                     0
                0.0231	                 2e-06	                 1e-06	                     0	              0.001071	                     0	                     0
                0.0232	                 1e-06	                 1e-06	                     0	               0.00107	                 1e-06	                     0
                0.0233	                 1e-06	                 1e-06	                     0	              0.001079	                     0	                     0
                0.0234	                 1e-06	                 1e-06	                     0	               0.00107	                 1e-06	                     0
                0.0235	                 1e-06	                 1e-06	                     0	              0.001077	                 1e-06	                     0
                0.0236	                 1e-06	                 1e-06	                     0	              0.001084	                     0	                     0
                0.0237	                 1e-06	                 1e-06	                     0	              0.001073	                     0	                     0
                0.0238	                 1e-06	                 1e-06	                     0	               0.00107	                 1e-06	                     0
                0.0239	                 1e-06	                 1e-06	                     0	              0.001079	                     0	                     0
                 0.024	                 2e-06	                     0	                     0	              0.001069	                 1e-06	                     0
                0.0241	                 1e-06	                 1e-06	                     0	               0.00107	                     0	                     0
                0.0242	                 2e-06	                     0	                     0	              0.001082	                     0	                     0
                0.0243	                 2e-06	                     0	                 1e-06	              0.001088	                     0	                     0
                0.0244	                 1e-06	                 1e-06	                     0	               0.00107	                 1e-06	                     0
                0.0245	                 1e-06	                 1e-06	                     0	              0.001096	                     0	                     0
                0.0246	                 2e-06	                     0	                     0	              0.001073	                 1e-06	                     0
                0.0247	                 1e-06	                 1e-06	                     0	               0.00107	                 1e-06	                     0
                0.0248	                 1e-06	                 1e-06	                     0	              0.001079	                     0	                     0
                0.0249	                 1e-06	                 1e-06	                     0	               0.00107	                     0	                     0
                 0.025	                 1e-06	                 1e-06	                     0	               0.00107	                     0	                     0
                0.0251	                 1e-06	                 1e-06	                     0	               0.00109	                     0	                     0
                0.0252	                 2e-06	                     0	                     0	               0.00107	                     0	                     0
                0.0253	                 2e-06	                     0	                 1e-06	               0.00107	                     0	                     0
                0.0254	                 2e-06	                     0	                     0	              0.001082	                     0	                     0
                0.0255	                 2e-06	                     0	                     0	              0.001078	                     0	                     0
                0.0256	                 1e-06	                 1e-06	                     0	              0.001085	                     0	                     0
                0.0257	                 2e-06	                 1e-06	                     0	               0.00108	                     0	                     0
                0.0258	                 1e-06	                 1e-06	                     0	               0.00107	                 1e-06	                     0
                0.0259	                 2e-06	                     0	                     0	              0.001071	                 1e-06	                     0
                 0.026	                 1e-06	                 1e-06	                     0	              0.001083	                 1e-06	                     0
                0.0261	                 2e-06	                     0	                     0	              0.001071	                 1e-06	                     0
                0.0262	                 1e-06	                 1e-06	                     0	              0.001071	                     0	                     0
                0.0263	                 1e-06	                 1e-06	                     0	              0.001126	                     0	                     0
                0.0264	                 2e-06	                 1e-06	                     0	              0.001085	                 1e-06	                     0
                0.0265	                 2e-06	                     0	                 1e-06	              0.001097	                     0	                     0
                0.0266	                 2e-06	                 1e-06	                     0	              0.001084	                     0	                     0
                0.0267	                 1e-06	                 1e-06	                     0	              0.001071	                 1e-06	                     0
                0.0268	                 1e-06	                 1e-06	                     0	              0.001082	                     0	                     0
                0.0269	                 1e-06	                 1e-06	                     0	              0.001081	                 1e-06	                     0
                 0.027	                 1e-06	                 1e-06	                     0	              0.001071	                 1e-06	                     0
                0.0271	                 1e-06	                 1e-06	                     0	               0.00107	                 1e-06	                     0
                0.0272	                 1e-06	                 1e-06	                     0	              0.001081	                     0	                     0
                0.0273	                 2e-06	                 1e-06	                     0	              0.001071	                     0	                     0
                0.0274	                 1e-06	                 1e-06	                     0	               0.00107	                 1e-06	                     0
                0.0275	                 1e-06	                 1e-06	                     0	               0.00108	                 1e-06	                     0
                0.0276	                 2e-06	                 1e-06	                 1e-06	              0.001088	                 1e-06	                     0
                0.0277	                 2e-06	                 1e-06	                     0	              0.001069	                 1e-06	                     0
                0.0278	                 2e-06	                     0	                     0	              0.001092	                     0	                     0
                0.0279	                 2e-06	                 1e-06	                     0	              0.001071	                     0	                     0
                 0.028	                 2e-06	                 1e-06	                     0	              0.001071	                     0	                     0
                0.0281	                 2e-06	                     0	                     0	              0.001082	                     0	                     0
                0.0282	                 1e-06	                 1e-06	                     0	              0.001072	                     0	                     0
                0.0283	                 1e-06	                 1e-06	                     0	               0.00107	                 1e-06	                     0
